ที่นั่งกลางแจ้ง,บริการจัดส่ง,สั่งกลับบ้าน,นั่งรับประทานที่ร้าน,กาแฟรสชาติเยี่ยม,ขนมหวานรสชาติเยี่ยม,ตัวเลือกชารสเลิศ,ตัวเลือกเบียร์รสชาติเยี่ยม,อาหารค่ำ,รับประทานอาหารคนเดียว,เหมาะกับการทำงานด้วยแล็ปท็อป,กาแฟ,เบียร์,ไวน์,อาหารจานเล็ก,อาหารมื้อดึก,แอลกอฮอล์,อาหารเช้า,อาหารมื้อสาย,อาหารกลางวัน,บริการจัดเลี้ยง,ของหวาน,ที่นั่ง,ห้องน้ำ,ความเป็นกันเอง,ทันสมัย,โรแมนติก,อบอุ่น,ขาจร,นักศึกษามหาวิทยาลัย,พื้นที่ที่ยอมรับบุคคลข้ามเพศ,มาเป็นกลุ่ม,เหมาะสำหรับครอบครัว,เหมาะสำหรับ LGBTQ+,รับจอง,บัตรเครดิต,บัตรเดบิต,เมนูสำหรับเด็ก,เหมาะสำหรับเด็ก,มีที่จอดจำนวนมาก,ที่จอดรถแบบไม่เสียค่าใช้จ่าย,ที่จอดรถริมถนนแบบไม่เสียค่าใช้จ่าย,ที่จอดรถแบบเสียค่าใช้จ่าย,อาหารจานด่วน,เงียบ,เก้าอี้ทานข้าวสำหรับเด็ก,จัดส่งโดยไม่สัมผัส,หาที่จอดค่อนข้างยาก,รับสินค้าโดยไม่ต้องลงจากรถ,ไดรฟ์ทรู,ค็อกเทล,ช่วงลดราคาเครื่องดื่ม,ช่วงลดราคาอาหาร,ต้อนรับสุนัข,อนุญาตให้นําสุนัขเข้าไปด้านใน,อนุญาตให้สุนัขอยู่ด้านนอก,Wi-Fi,รับเฉพาะเงินสด,ระบุว่ามีเจ้าของเป็นผู้หญิง,ทางเข้าสำหรับเก้าอี้รถเข็น,ที่จอดรถที่เก้าอี้รถเข็นสามารถใช้ได้,ที่นั่งสำหรับเก้าอี้รถเข็น,ค็อกเทลรสชาติเยี่ยม,เหล้าดีกรีสูง,มีบาร์,หรูหรา,เหมาะกับกิจกรรมวันเกิดเด็ก,ตัวเลือกสำหรับมังสวิรัติ,อาหารออร์แกนิก,การชำระเงินผ่าน NFC บนอุปกรณ์เคลื่อนที่,ที่จอดรถในพื้นที่,การเปิดให้บริการที่หน้าร้าน,ให้บริการอาหารวีแกน,ห้องน้ำรองรับเก้าอี้รถเข็น,ดนตรีสด,ระบบอำนวยความสะดวกช่วยเพิ่มการได้ยิน,การแสดงสด,ห้องน้ำไม่แบ่งเพศ,รายการไวน์ชั้นดี,มารับของที่ร้าน,การจัดส่งวันเดียวกัน,แวะในช่วงเวลาสั้นๆ,โดยปกติต้องรอ,ต้องจอง,โรงจอดรถแบบไม่เสียค่าใช้จ่าย,การเลือกซื้อในร้านค้า,,อาหารสำเร็จ,ต้องนัดหมายล่วงหน้า,ส่วนลดสำหรับครอบครัว,ส่วนลดสําหรับเด็ก,แนะนำให้จองอาหารมื้อสาย,แนะนำให้จองอาหารกลางวัน,แนะนำให้จองอาหารค่ำ,อาหาร,หาที่จอดยาก,อาหารฮาลาล,กีฬา,อุปกรณ์อิเล็กทรอนิกส์,บุฟเฟ่ต์
0.0,0.2667598096394598,0.20657412266561723,0.20657412266561723,0.20657412266561723,0.219962216768937,0.20657412266561723,0.0,0.0,0.24987521738970947,0.0,0.20657412266561723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219962216768937,0.0,0.0,0.20657412266561723,0.20657412266561723,0.0,0.23434289818742068,0.0,0.2667598096394598,0.0,0.24987521738970947,0.0,0.0,0.0,0.0,0.0,0.3285558825942517,0.2667598096394598,0.23434289818742068,0.219962216768937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.21003101907142727,0.16264434119924379,0.16264434119924379,0.16264434119924379,0.17318534080388764,0.16264434119924379,0.0,0.0,0.0,0.27908706657311094,0.16264434119924379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17318534080388764,0.0,0.22459287953589477,0.16264434119924379,0.16264434119924379,0.0,0.1845078454096147,0.0,0.0,0.302638807790637,0.1967370820214137,0.3304946053051181,0.0,0.27908706657311094,0.0,0.0,0.0,0.0,0.1845078454096147,0.17318534080388764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40854053355986036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24280879553439813,0.15430623661319323,0.11949204602179476,0.11949204602179476,0.11949204602179476,0.12723634010904383,0.11949204602179476,0.0,0.0,0.14453940595632406,0.20504054649026382,0.11949204602179476,0.0,0.0,0.20504054649026382,0.0,0.0,0.26785615546892744,0.22234361233754404,0.24280879553439813,0.0,0.12723634010904383,0.24280879553439813,0.16500458915317814,0.11949204602179476,0.11949204602179476,0.0,0.13555479269985438,0.17683106920616068,0.15430623661319323,0.0,0.14453940595632406,0.0,0.0,0.20504054649026382,0.26785615546892744,0.0,0.19005194908770745,0.15430623661319323,0.13555479269985438,0.12723634010904383,0.14453940595632406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300147818718764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2133130693102778,0.2133130693102778,0.2133130693102778,0.22713791536815875,0.2133130693102778,0.0,0.0,0.2580267502926856,0.3660312946429699,0.2133130693102778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22713791536815875,0.0,0.0,0.2133130693102778,0.2133130693102778,0.0,0.24198772933597865,0.0,0.27546215870866064,0.0,0.2580267502926856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24198772933597865,0.22713791536815875,0.2580267502926856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.11901113713046292,0.11901113713046292,0.11901113713046292,0.12672426345376755,0.11901113713046292,0.0,0.0,0.14395769120805085,0.0,0.11901113713046292,0.0,0.0,0.0,0.0,0.2667781388891504,0.0,0.0,0.0,0.0,0.12672426345376755,0.0,0.0,0.11901113713046292,0.11901113713046292,0.0,0.13500923751654023,0.17611939310489574,0.15368521417993683,0.2214487659970231,0.14395769120805085,0.0,0.0,0.0,0.0,0.0,0.0,0.15368521417993683,0.13500923751654023,0.12672426345376755,0.0,0.2989398407859953,0.0,0.0,0.0,0.0,0.0,0.2667781388891504,0.0,0.2989398407859953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34426921367812263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2989398407859953,0.0,0.0,0.0,0.0,0.34426921367812263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17433815769088648,0.13500441472352762,0.13500441472352762,0.13500441472352762,0.1437540673196949,0.13500441472352762,0.0,0.0,0.16330340432919468,0.0,0.13500441472352762,0.0,0.0,0.0,0.0,0.3026290427111863,0.0,0.2512080950197306,0.0,0.0,0.1437540673196949,0.0,0.18642536241498328,0.13500441472352762,0.13500441472352762,0.0,0.1531524152500915,0.0,0.0,0.2512080950197306,0.0,0.2743300531055192,0.0,0.0,0.0,0.0,0.0,0.17433815769088648,0.1531524152500915,0.1437540673196949,0.16330340432919468,0.0,0.0,0.0,0.0,0.0,0.0,0.3026290427111863,0.3391127857102666,0.3391127857102666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.22497667041665062,0.17421799173707586,0.17421799173707586,0.17421799173707586,0.0,0.17421799173707586,0.0,0.0,0.21073674667841708,0.0,0.17421799173707586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17421799173707586,0.17421799173707586,0.0,0.0,0.2578176102884548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22497667041665062,0.19763728667092037,0.1855090810456961,0.21073674667841708,0.0,0.0,0.39053111093016996,0.0,0.39053111093016996,0.0,0.39053111093016996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2393322719385071,0.18533471803000104,0.18533471803000104,0.18533471803000104,0.19734628372651547,0.18533471803000104,0.0,0.0,0.22418370878219912,0.0,0.18533471803000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19734628372651547,0.0,0.25592564545076585,0.18533471803000104,0.18533471803000104,0.0,0.2102483815371313,0.0,0.0,0.0,0.0,0.0,0.0,0.3180222712192839,0.0,0.0,0.0,0.2393322719385071,0.2102483815371313,0.19734628372651547,0.22418370878219912,0.0,0.0,0.0,0.0,0.4154506236957323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3166712739322124,0.2012462209881635,0.15584154748268844,0.15584154748268844,0.15584154748268844,0.16594165719624882,0.15584154748268844,0.0,0.0,0.18850831872402254,0.2674139168720118,0.15584154748268844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16594165719624882,0.3166712739322124,0.21519901425644936,0.15584154748268844,0.15584154748268844,0.0,0.1767905845313523,0.2306231116260247,0.2012462209881635,0.0,0.18850831872402254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1767905845313523,0.0,0.18850831872402254,0.3914528380755486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1709433380374805,0.1709433380374805,0.1709433380374805,0.1820221966401428,0.1709433380374805,0.0,0.0,0.0,0.0,0.1709433380374805,0.0,0.0,0.29332760310825956,0.0,0.0,0.0,0.0,0.0,0.0,0.1820221966401428,0.0,0.23605282694885485,0.1709433380374805,0.1709433380374805,0.0,0.19392243686969177,0.2529715930491672,0.22074794134707,0.0,0.20677567549242482,0.0,0.0,0.0,0.0,0.0,0.2718851644037992,0.0,0.0,0.1820221966401428,0.20677567549242482,0.0,0.0,0.0,0.0,0.0,0.49449597734003264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13682785911384637,0.10595709672629956,0.10595709672629956,0.10595709672629956,0.11282418909770221,0.10595709672629956,0.0,0.26614986117461936,0.12816732433289102,0.1818154575185664,0.10595709672629956,0.0,0.0,0.1818154575185664,0.0,0.0,0.23751589765714845,0.1971585927537552,0.215305670050557,0.0,0.11282418909770221,0.0,0.14631440162969284,0.10595709672629956,0.10595709672629956,0.0,0.12020040462937774,0.15680128785036196,0.13682785911384637,0.1971585927537552,0.12816732433289102,0.215305670050557,0.0,0.1818154575185664,0.0,0.0,0.16852462923628428,0.13682785911384637,0.12020040462937774,0.11282418909770221,0.12816732433289102,0.0,0.26614986117461936,0.23751589765714845,0.0,0.23751589765714845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065071660780126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17291004615261613,0.1098852223853806,0.0850931909077899,0.0850931909077899,0.0850931909077899,0.09060809099655528,0.0850931909077899,0.24615314691996715,0.2137425585141795,0.0,0.0,0.0850931909077899,0.24615314691996715,0.0,0.14601435783559383,0.24615314691996715,0.19074688008092863,0.0,0.15833629167514096,0.17291004615261613,0.0,0.09060809099655528,0.17291004615261613,0.11750377931357757,0.0850931909077899,0.0850931909077899,0.0,0.09653186331390379,0.12592570326935332,0.1098852223853806,0.15833629167514096,0.1029300248361024,0.17291004615261613,0.0,0.14601435783559383,0.19074688008092863,0.0,0.1353406132418901,0.1098852223853806,0.09653186331390379,0.09060809099655528,0.1029300248361024,0.0,0.0,0.0,0.2137425585141795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24615314691996715,0.0,0.0,0.0,0.0,0.24615314691996715,0.24615314691996715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24615314691996715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2408602981065501,0.1865179947218693,0.1865179947218693,0.1865179947218693,0.1986062487252083,0.1865179947218693,0.0,0.0,0.22561501836152803,0.0,0.1865179947218693,0.0,0.0,0.3200526967381976,0.0,0.0,0.0,0.0,0.0,0.0,0.1986062487252083,0.0,0.0,0.1865179947218693,0.1865179947218693,0.0,0.0,0.2760198484411372,0.2408602981065501,0.0,0.22561501836152803,0.0,0.0,0.0,0.0,0.0,0.2966566362949081,0.2408602981065501,0.21159072047945315,0.1986062487252083,0.22561501836152803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23274157065691775,0.0,0.11453772261796559,0.11453772261796559,0.11453772261796559,0.1219609264007136,0.11453772261796559,0.0,0.0,0.138546580613168,0.19653925111512768,0.11453772261796559,0.0,0.0,0.19653925111512768,0.0,0.0,0.25675042865212017,0.21312490532758208,0.23274157065691775,0.0,0.1219609264007136,0.23274157065691775,0.15816324594250367,0.11453772261796559,0.11453772261796559,0.0,0.12993448319530704,0.0,0.14790846349890488,0.0,0.138546580613168,0.0,0.0,0.19653925111512768,0.25675042865212017,0.0,0.18217210393770608,0.14790846349890488,0.0,0.1219609264007136,0.138546580613168,0.0,0.28770323004199616,0.25675042865212017,0.28770323004199616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
